Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
133,22,1,21.0,44,1,43.0,4,453,0.9912,22,155,0.8581,23,10,1.3,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1176470588235294,629,622,629,168,0
134,22,1,21.0,44,1,43.0,4,454,0.9912,22,155,0.8581,23,10,1.3,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1174603174603175,630,619,630,168,0
135,22,1,21.0,44,1,43.0,4,454,0.9912,22,155,0.8581,23,10,1.3,9,6,0.5,30,1,29.0,5,1,4.0,9,1,8.0,1.1174603174603175,630,619,630,168,0
136,22,1,21.0,44,1,43.0,4,455,0.9912,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,6,1,5.0,9,1,8.0,1.120443740095087,631,621,631,170,0
137,22,1,21.0,44,1,43.0,4,455,0.9912,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,6,1,5.0,9,1,8.0,1.120443740095087,631,624,631,170,0
138,22,1,21.0,44,1,43.0,4,455,0.9912,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,6,1,5.0,9,1,8.0,1.120443740095087,631,622,631,170,0
139,22,1,21.0,44,1,43.0,4,456,0.9912,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,6,1,5.0,8,1,7.0,1.1186708860759493,632,623,632,169,0
140,22,1,21.0,44,1,43.0,4,456,0.9912,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,6,1,5.0,8,1,7.0,1.1186708860759493,632,620,632,169,0
141,22,1,21.0,45,1,44.0,4,457,0.9912,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,6,1,5.0,8,1,7.0,1.1200631911532386,633,621,633,170,0
142,22,1,21.0,45,1,44.0,4,457,0.9912,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,6,1,5.0,8,1,7.0,1.1200631911532386,633,619,633,170,0
143,22,1,21.0,45,1,44.0,4,458,0.9913,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,6,1,5.0,8,1,7.0,1.1198738170347002,634,619,634,170,0
144,23,1,22.0,45,1,44.0,5,458,0.9891,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,7,1,6.0,8,1,7.0,1.1214511041009463,634,625,634,173,0
145,23,1,22.0,45,1,44.0,6,458,0.9869,22,155,0.8581,24,10,1.4,9,6,0.5,30,1,29.0,7,1,6.0,8,1,7.0,1.1198738170347002,634,623,634,174,0
